"10N2016" "10N2017" "10N2018" "16N2016" "16N2017" "16N2018" "19N2016" "19N2017" "19N2018" "1N2016" "1N2017" "1N2018" "20N2016" "20N2017" "20N2018" "23N2016" "23N2017" "23N2018" "3N2016" "3N2017" "3N2018" "6N2016" "6N2017" "6N2018" "17soil10N" "17soil16N" "17soil19N" "17soil1N" "17soil20N" "17soil23N" "17soil3N" "17soil6N" "18soil10N" "18soil16N" "18soil19N" "18soil1N" "18soil20N" "18soil23N" "18soil3N" "18soil6N" "16soil10N" "16soil16N" "16soil19N" "16soil1N" "16soil20N" "16soil23N" "16soil3N" "16soil6N"
"Zotu617" 26 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 9 3 0 0 1 5 4 2 0 0 0 0 1 17 1 0 0 1 0 0 0 0 5
"Zotu78" 1372 1 2 0 1 0 0 4 0 14 49 0 0 0 0 0 0 0 12 0 0 0 0 3 158 0 0 27 0 0 5 107 131 0 0 15 0 0 0 17 0 0 0 68 0 0 6 3
"Zotu283" 85 0 1 0 0 0 0 0 0 2 0 0 5 0 0 0 0 0 1 0 0 1 0 0 78 0 0 0 0 0 0 0 0 0 0 4 0 0 1 0 0 0 0 0 4 0 0 44
"Zotu12" 339 0 0 26 0 0 24 0 0 48 96 0 61 0 0 19 0 0 0 0 0 22 0 19 0 367 1 0 0 1 12 0 0 5 3 22 1 0 0 6 2903 0 17 0 1 2 62 148
"Zotu18" 11 11 959 0 4 64 1 0 14 8 0 26 0 0 0 0 0 0 0 0 1 0 7 6 0 0 2 4 2 2 1 1 5 0 0 1 6 1 0 14 0 1 0 0 2 1 18 1
"Zotu9" 927 2 8 4 667 2 67 106 14 119 257 0 53 20 1 4 20 18 26 0 11 7 0 5 203 66 34 38 31 34 137 26 1009 68 14 303 135 30 347 250 394 8 120 262 142 36 114 248
"Zotu133" 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 2 2 12 0 0 0 0 0 0 0 0 1 0 0 0 0 17 8 1343
"Zotu47" 158 1 0 2 647 0 0 3 0 2 550 0 19 4 0 0 0 0 0 0 0 0 0 0 193 130 13 36 0 1 1 5 63 311 0 707 76 0 3 2 0 3 0 1 805 3 0 2
"Zotu6" 1213 7 5 7 64 5 347 339 38 241 159 7 1073 65 39 386 3001 87 1706 18 138 670 185 233 7 3 117 13 21 70 28 117 11 4 34 14 17 86 18 33 11 1 12 84 2 5 13 3
"Zotu300" 11 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 1 15 0 0 0 8 0 7 0 0 0 10 0 9 0 1 0 0 0 73 0 4 0 2 0 0 0 0 0
