"sample_soil","sample","block","plot","year","Precipitation","Warm","warm","precip","clip","Clip","DNA.concentration","DNA.by.pcgreen","NO3.N","NH4.N","TN","TC","pH","FlTotl","FlC4","FlC3","plant.richness","moisture_samplingmonth","annual_moisture","precipitation_Oct_cm","precipitation_annual_cm","temperature_annual","ER_annualmean","GPP_annualmean","NEE_annualmean","Autotrophic","Heterotrophic","total_soil_respiration"
"16soil10N","10N2016","B2","N10",2016,"normal","warming",1,1,0,"uncliping",118.6,93.2,10.68,3.15,0.098,0.907,7.2,52.46909308,7.258821486,45.2102716,6,21.6,9.526190476,1.5,92.3544,19.50012437,1.877138779,3.420167619,1.54302884,1.39375,2.4075,3.80125
"16soil16N","16N2016","B4","N16",2016,"normal","warming",1,1,0,"uncliping",95,74.09,18.29,3.86,0.097,0.9,6.6,88.81741672,80.6165616,8.200855121,5,21.86666667,9.46904762,1.5,92.3544,18.76885182,2.956108142,5.72256754,2.766459398,2.66,3.275625,5.935625
"16soil19N","19N2016","B3","N19",2016,"normal","unwarming",0,1,0,"uncliping",65.4,41.1,0.41,5.63,0.091,0.884,7.53,145.2588869,143.6738194,1.585067429,3,31.66666667,14.78809524,1.5,92.3544,16.8649115,2.447984797,2.212237376,-0.136390371,2.266875,3.59625,5.863125
"16soil1N","1N2016","B1","N01",2016,"normal","warming",1,1,0,"uncliping",86.7,67.42,15.97,3.32,0.111,1.041,7.45,110.6407944,75.23754336,35.40325106,7,20.66666667,7.888095238,1.5,92.3544,18.74514667,3.461467869,5.561766219,1.893960067,3.531875,2.983125,6.515
"16soil20N","20N2016","B3","N20",2016,"normal","warming",1,1,0,"uncliping",44.7,28.35,0.86,1.13,0.079,0.704,7.5,177.0310931,166.3406109,10.69048229,2,26.43333333,13.21428571,1.5,92.3544,18.50175726,2.934838437,3.840402113,0.371458832,1.1125,3.745,4.8575
"16soil23N","23N2016","B4","N23",2016,"normal","unwarming",0,1,0,"uncliping",84.3,57.59,4.61,2.54,0.086,0.838,6.95,175.1252806,124.6202245,50.50505614,8,26.33333333,12.9547619,1.5,92.3544,17.24038876,3.379746921,4.661011252,1.281264331,0.9975,4.28875,5.28625
"16soil3N","3N2016","B1","N03",2016,"normal","unwarming",0,1,0,"uncliping",95.7,82.21,0.58,2.88,0.101,0.845,7.56,408.2750734,0.001,408.2740734,8,22.36666667,10.67619048,1.5,92.3544,17.13615215,1.520767571,2.785725708,1.264958137,0.98625,2.205,3.19125
"16soil6N","6N2016","B2","N06",2016,"normal","unwarming",0,1,0,"uncliping",60.3,44.51,3.4,2.99,0.075,0.623,7.17,90.81125138,5.414290286,85.3969611,12,17.53333333,8.573809524,1.5,92.3544,17.37960349,2.928629806,3.400727295,0.472097488,1.258125,2.535625,3.79375
"17soil10N","10N2017","B2","N10",2017,"normal","warming",1,1,0,"uncliping",133.6,103.1335,0.7335,6.235,0.1285,1.103,6.67,103.9138177,69.73755589,34.17626186,7,12.3,11.33333333,5.7,99.2124,19.52288,2.51061204,3.818161433,-1.307549393,3.202,3.871,7.073
"17soil16N","16N2017","B4","N16",2017,"normal","warming",1,1,0,"uncliping",135.8,110.131,4.52,25.61,0.1406,1.3411,6.13,256.3090482,234.5634817,21.74556642,7,8.466666667,11.13939394,5.7,99.2124,19.16127,1.26457812,1.36259046,-0.09801234,2.511,5.634,8.145
