ID	sp10N2016	sp10N2017	sp10N2018	sp16N2016	sp16N2017	sp16N2018	sp1N2016	sp1N2017	sp1N2018	sp20N2016	sp20N2017	sp20N2018
Zotu2404			1	1	8	1	1	1				
Zotu291	4		2	4	25	31	4	2	1	14	10	5
Zotu3323			1		2					1		1
Zotu37	2164	40	134	5	91	1	264	544	1	4	3	
Zotu16	519	57	747	66	61	15	267	60	232	23	48	148
Zotu811	33	1		2	3		4	2	1	2		1
Zotu181	301	5	57	2	13	1	30	57	2	7	18	
Zotu5586						1					2	
Zotu1217	97	2	21		3		2			2	5	6
Zotu175	351	1	3	2	6	1	10	30		52	28	2
Zotu194	63	1	4	3	40	2	18	4	1	24	7	204
Zotu19	711	1143	9	52	474	52	2280	1590	1	183	888	379
Zotu71	93				44		66	1		7	62	
Zotu38	598	1	32	236	120	2	48	97		75		25
Zotu666	12		11	73	11	7	5	6	20	2	5	5
Zotu591	6			566	3	1	7		10	1	6	80
Zotu746	47	1	113	1			144	1				1
Zotu28	284		269	64	26	26	229	40	4	302	10	9
Zotu46	193	15	41	24	193	46	123	115	8	150	150	13
Zotu847	145	4	20	1	3		47			2	1	
Zotu77	402	9	25	4	23		574	27		56	47	4
Zotu83	62	192	142	219	10	12	202	22	291	54	20	97
Zotu3075	7	1	1	1	5		1			1		1
Zotu58	1506		3	572	43		105	47		96		6
Zotu636	9	2	1	2	1	14	16	4			6	4
Zotu2323	6			2		3				2	1	
Zotu19637	2										1	
Zotu818	33		7		2	1	23	3				1
Zotu4506	13						17			11		
Zotu3391	33			2			1			1		
Zotu63	39	6	27	18	135	52	25	14	2	48	54	16
Zotu1678	13						16			1		1
Zotu558	24	1			8		4				5	1
Zotu10	56	119	49	156	33	264	467	414	34	146	121	56
Zotu4575	19		1		1		10					
Zotu41	442	2	5	22	12	2	144	41	7	918	12	58
Zotu629	19	6	13	5	8	1	30	23	1	3	12	1
Zotu379	28	8	1		12		38	28	1	1	2	3
Zotu631	20		2	14	281		4	9		1		
Zotu3252	9		1	2	1			1		4		
Zotu1617	71		1	3	2			3				
Zotu39	281	623	179	73	27	143	251	94	31	72	84	107
Zotu886	2		2		2	1		4				
Zotu200	26	19	39	12	31	10	59	20	4	4	24	5
Zotu235	14	1	1	22	16	15	5	5		20	12	
Zotu88	46	11	138	11	37	5	11	54	19	19	258	155
Zotu655	51		28	2	8	7	195	4	1	22	17	1
Zotu329	9	6	2			1	28	12		9	8	
Zotu271	142	3	2	1	21	4	2	5	1	12	6	
Zotu2024	31			2	6		2			5	1	
Zotu1387	1		1		9		1	1			4	
Zotu2	55	7	30	27	7	13	5	12	3	19	10	3
Zotu6176	48											
Zotu645	6	5	6	5	58	2	2	12	1	6	3	2
Zotu669	46	1	3	1			60	2				
Zotu425	90		3	1	3	2	9	5		75	12	
Zotu18	320	12	73	133	337	230	461	125	76	66	250	41
Zotu1541	39		9	1	1		9	1		3		
Zotu384	264	5	2				71	13		5	1	1
Zotu4	334	516	448	296	204	482	406	263	183	905	529	1192
Zotu47392	9				1		13			24		
Zotu1052	62		1	8	5		14	3		7		
Zotu538	114	1	9	4	5	5	32	2	1	6	1	
Zotu2467	3				1			2		2	5	
Zotu3472	2											
Zotu26113	2						1					
Zotu1	143	691	4017	4152	249	3418	3837	4252	10174	3054	899	2005
Zotu5	157	1154	209	89	224	938	351	173	202	448	150	1098
Zotu6697	11						9	2		1	1	
Zotu59	77	5	178	599	8	10	116	4	7	5	11	25
Zotu812	60		5	2	11	1	11	5	2	1	9	
Zotu115	81	108	19	6	27	13	56	22	12	16	20	17
Zotu198	38	6	8	14	37	23	48	30	6	46	61	7
Zotu222	234	4	59	1	18	3	236	89		128	30	
Zotu133	187	3	90	2	6	6	50	11		27	22	
Zotu1108	15		2		2		30	17		1	1	
Zotu7061	4		5				3	2				
Zotu98	16	119	63	5	61	2	49	194		99	29	1
Zotu3291	21						4			12		
Zotu1851	74			10	6		9	4		1		
Zotu790	29			7	48		15	17	1	9	1	
Zotu1116	3		1		11	8				3	2	1
Zotu179	231	17		1	62		5	44		2	13	2
Zotu3677		1				1	3		1	17	1	
Zotu1686	149				8		3	3		1		
Zotu3620	27	7	1		1	3		1	26	10	1	
Zotu588	22	2	9		9	4	13	8	2	5	3	2
Zotu17082							1					
Zotu203	32			132	10	22	22	20	3	116	15	5
Zotu4406	9			1			5			2		
Zotu1869	8		1		1							
Zotu1518			2		3		1					
Zotu17596	5			1								
Zotu1581	58	1		3	48	10	9	1		14	13	
Zotu1174	33		5		2			4				33
Zotu1947	10				5		4		1	1	6	
Zotu2065	26				4		7	1		30	6	
Zotu1310	9			3	3			23		11	1	
Zotu486	32	1	2	4	9	13	9	3	2	5	12	3
Zotu252	9		1	3	13	4	11	1	1	1	2	2
Zotu313	62	1	2	19	73	2	21	19		8	4	
Zotu8052		1				1						
Zotu9	41	3	28	21	75	48	20	22	25	19	51	22
Zotu238	95	1	15	2	13	11	66	13		15	15	2
Zotu682	31		4	6	16	26	8	5		6	2	7
Zotu239	3	1	2	1	66	20	3	11		54	89	7
Zotu415	123	1	6	22	101	3	38	14		8	80	
Zotu4201	4			1	12	2	3	3		2		
Zotu29870	7	1	2	7	2		7	2	6	7	4	2
Zotu27432										1		
Zotu273	54				23			23			1	
Zotu1893				1	1	3	1	1		1	3	3
Zotu193	83	13	17		96	10	59	1		34	40	4
Zotu2675	17		1		1	2	1	1				
Zotu12	28	6	12	29	25	1	2	467	93	6	68	15
Zotu1493			1	1							4	
Zotu1563	3				2						1	
Zotu96	5		8	3	10	5	6	5	1	4	9	2
Zotu10200	5			1				1		2		
Zotu7285	2		1									
Zotu2830	28		1				24					
Zotu229	113		19		23			28				121
Zotu562	29	6	2	6	5	1	3	27			1	3
Zotu749	32		2	4	12	14	8	2		4	4	4
Zotu3115	1						1		3	1	1	
