"sample"	"group"	"node.number"	"link.number"	"avgK"	"avgCC"	"geodesic.distance"	"number.of.modules"	"Modularity"	"density"
"1"	"10N2016"	"LH"	426	225	1.05633802816901	0.0661189358372457	2.022	214	0.981372839506171	0.00248550124275062
"2"	"10N2017"	"LH"	138	40	0.579710144927536	0	1.26530612244898	98	0.96375	0.00423146091187983
"3"	"10N2018"	"LH"	325	141	0.867692307692308	0.0358974358974359	2.34463276836158	191	0.966651576882449	0.00267806267806268
"4"	"16N2016"	"LH"	330	154	0.933333333333333	0.0353535353535354	2.10227272727273	183	0.973604317760164	0.00283687943262411
"5"	"16N2017"	"LH"	449	260	1.15812917594655	0.0553080920564217	3.18192627824019	206	0.975924556213017	0.00258510976773783
"6"	"16N2018"	"LH"	334	154	0.922155688622755	0.0528942115768463	1.40265486725664	187	0.985326361949742	0.00276923630217043
"7"	"16soil10N"	"SH"	1193	673	1.12824811399832	0.0561489641959047	3.40868454661558	576	0.987248553305262	0.000946516874159667
"8"	"16soil16N"	"SH"	1248	798	1.27884615384615	0.049434650997151	8.1284481140927	513	0.976225023712168	0.00102553821479242
"9"	"16soil19N"	"SN"	1010	486	0.962376237623762	0.0440594059405941	1.62361623616236	561	0.992243729783739	0.000953792108645949
"10"	"16soil1N"	"SH"	1075	579	1.07720930232558	0.0455060908084164	9.71452420701169	549	0.972252797241385	0.0010029881772119
"11"	"16soil20N"	"SH"	1138	645	1.13356766256591	0.0363335844003682	3.13522267206478	529	0.98635418544559	0.000996981233567199
"12"	"16soil23N"	"SN"	1080	621	1.15	0.0491255144032922	2.91192214111922	494	0.988997539162072	0.00106580166821131
"13"	"16soil3N"	"SN"	1038	526	1.01348747591522	0.044572896596018	1.85029354207436	549	0.99204123234397	0.00097732639914679
"14"	"16soil6N"	"SN"	1022	539	1.05479452054795	0.0415851272015656	2.30343213728549	516	0.990826824911106	0.00103309943246616
"15"	"17soil10N"	"SH"	1298	804	1.23882896764253	0.0550694597304767	5.08694732388407	563	0.984204444196921	0.000955149550996551
"16"	"17soil16N"	"SH"	1182	688	1.16412859560068	0.0447358526038729	4.79684576316493	542	0.982573984248245	0.000985714306181775
"17"	"17soil19N"	"SN"	1078	579	1.07421150278293	0.0438510469122714	3.60854765506808	533	0.984180037644558	0.000997410866093715
"18"	"17soil1N"	"SH"	1249	838	1.34187349879904	0.0392523542643639	11.3193911317009	477	0.976868438890189	0.00107521914967872
"19"	"17soil20N"	"SH"	1285	846	1.31673151750973	0.0403816935334445	9.3966119455117	499	0.979332584432932	0.00102549183606677
"20"	"17soil23N"	"SN"	1179	704	1.19423240033927	0.0530041723425947	3.03611898016997	511	0.988511266787188	0.00101377962677357
"21"	"17soil3N"	"SN"	1017	562	1.10521140609636	0.0510026518876076	4.67017624170291	492	0.976445650384367	0.00108780650206335
"22"	"17soil6N"	"SN"	995	532	1.06934673366834	0.0539028475711893	5.10579710144928	500	0.980316156933688	0.0010758015429259
"23"	"18soil10N"	"SH"	1218	754	1.23809523809524	0.0511885213855657	9.02061855670103	526	0.978730589816296	0.00101733380287201
"24"	"18soil16N"	"SH"	902	428	0.9490022172949	0.0115976841586598	3.010550996483	486	0.981436697528167	0.00105327660077125
"25"	"18soil19N"	"SN"	1061	548	1.03298774740811	0.0494322516942687	2.86868099941894	554	0.986335513346474	0.000974516742837835
"26"	"18soil1N"	"SH"	1325	895	1.35094339622642	0.0481515423779575	8.93938434755084	502	0.977899566180824	0.00102034999714986
"27"	"18soil20N"	"SH"	1064	565	1.06203007518797	0.0231829573934837	2.71650917176209	523	0.98811809851985	0.00099908755897269
"28"	"18soil23N"	"SN"	1125	666	1.184	0.0369664902998236	4.30265767552558	496	0.979024069114155	0.00105338078291815
"29"	"18soil3N"	"SN"	1110	664	1.1963963963964	0.0466779766779767	5.4101083032491	494	0.973657052910438	0.00107880648908602
"30"	"18soil6N"	"SN"	1194	740	1.23953098827471	0.0554797798516392	6.23812656229444	505	0.979353542731925	0.00103900334306346
"31"	"19N2016"	"LN"	298	148	0.993288590604027	0.00961968680089485	1.81386861313869	152	0.97982103725347	0.00334440602896979
"32"	"19N2017"	"LN"	343	193	1.12536443148688	0.0315146466749965	1.87533156498674	156	0.982147171736152	0.00329053927335345
"33"	"19N2018"	"LN"	210	92	0.876190476190476	0.0142857142857143	1.55102040816327	119	0.975425330812855	0.00419229892914103
"34"	"1N2016"	"LH"	375	192	1.024	0.0375111111111111	1.98820754716981	191	0.979383680555555	0.0027379679144385
