"sample"	"group"	"node.number"	"link.number"	"avgK"	"avgCC"	"geodesic.distance"	"number.of.modules"	"Modularity"	"density"
"1"	"10N2016"	"LH"	33	37	2.24242424242424	0.199037999037999	2.02112676056338	14	0.429145361577794	0.0700757575757576
"2"	"10N2017"	"LH"	23	12	1.04347826086957	0	1.79166666666667	12	0.753472222222222	0.0474308300395257
"3"	"10N2018"	"LH"	22	15	1.36363636363636	0.104545454545455	1.75	12	0.471111111111111	0.0649350649350649
"4"	"16N2016"	"LH"	25	31	2.48	0.285111111111111	1.89719626168224	10	0.301768990634755	0.103333333333333
"5"	"16N2017"	"LH"	39	46	2.35897435897436	0.168416768416768	1.96153846153846	11	0.587665406427221	0.0620782726045884
"6"	"16N2018"	"LH"	14	6	0.857142857142857	0	1.25	8	0.722222222222222	0.0659340659340659
"7"	"16soil10N"	"SH"	111	55	0.990990990990991	0.0534534534534535	3.9044776119403	62	0.864297520661157	0.00900900900900901
"8"	"16soil16N"	"SH"	88	32	0.727272727272727	0.0340909090909091	1.82539682539683	58	0.88671875	0.00835945663531871
"9"	"16soil19N"	"SN"	171	123	1.43859649122807	0.00146198830409357	4.80835820895522	72	0.791889748165774	0.00846233230134159
"10"	"16soil1N"	"SH"	80	32	0.8	0.0645833333333333	2.14457831325301	51	0.830078125	0.010126582278481
"11"	"16soil20N"	"SH"	107	67	1.25233644859813	0.0155763239875389	5.02352941176471	49	0.834038761416797	0.0118144947980956
"12"	"16soil23N"	"SN"	149	92	1.23489932885906	0.00143815915627996	3.47924528301887	72	0.785444234404537	0.00834391438418284
"13"	"16soil3N"	"SN"	177	128	1.44632768361582	0	4.97517879680269	74	0.807708740234375	0.00821777092963534
"14"	"16soil6N"	"SN"	133	49	0.736842105263158	0	2.01724137931034	84	0.923781757601	0.00558213716108453
"15"	"17soil10N"	"SH"	130	80	1.23076923076923	0.0461538461538462	5.70118577075099	59	0.835703125	0.00954084675014908
"16"	"17soil16N"	"SH"	108	70	1.2962962962963	0.0493827160493827	7.71055179090029	48	0.834081632653061	0.0121149186569747
"17"	"17soil19N"	"SN"	190	125	1.31578947368421	0.00726817042606516	5.37948717948718	79	0.864768	0.00696184906711223
"18"	"17soil1N"	"SH"	169	160	1.89349112426035	0.0499013806706114	6.0139848357203	43	0.7801171875	0.0112707805015497
"19"	"17soil20N"	"SH"	133	97	1.45864661654135	0.025062656641604	5.28755760368664	58	0.753108725688171	0.0110503531556163
"20"	"17soil23N"	"SN"	212	206	1.94339622641509	0.00752470799640611	5.82707745714906	59	0.732844754453766	0.00921040865599571
"21"	"17soil3N"	"SN"	188	120	1.27659574468085	0	6.48906666666667	76	0.887187500000001	0.00682671521219707
"22"	"17soil6N"	"SN"	175	121	1.38285714285714	0	5.05683971201213	71	0.812854313229971	0.00794745484400657
"23"	"18soil10N"	"SH"	152	124	1.63157894736842	0.0594298245614035	6.27121001390821	47	0.838644640998958	0.0108051585918438
"24"	"18soil16N"	"SH"	145	102	1.40689655172414	0.0472906403940887	5.95618556701031	57	0.841262975778546	0.00977011494252874
"25"	"18soil19N"	"SN"	154	90	1.16883116883117	0.00896722325293754	6.82413204325555	72	0.849012345679013	0.00763941940412529
"26"	"18soil1N"	"SH"	159	154	1.93710691823899	0.0522012578616352	6.88394349080966	36	0.796466520492495	0.0122601703686012
"27"	"18soil20N"	"SH"	129	87	1.34883720930233	0.0490956072351421	6.63405526512323	53	0.841326463205179	0.0105377906976744
"28"	"18soil23N"	"SN"	192	151	1.57291666666667	0.00372023809523809	8.03563159248778	59	0.817113284505066	0.00823516579406632
"29"	"18soil3N"	"SN"	195	162	1.66153846153846	0.00708180708180708	7.68994815668203	61	0.793857643651882	0.00856463124504362
"30"	"18soil6N"	"SN"	185	143	1.54594594594595	0.00306306306306306	6.29803449659045	70	0.759034671622085	0.00840188014101058
"31"	"19N2016"	"LN"	29	16	1.10344827586207	0.0804597701149425	1.53571428571429	14	0.8125	0.0394088669950739
"32"	"19N2017"	"LN"	28	12	0.857142857142857	0.0833333333333333	1.14285714285714	17	0.833333333333333	0.0317460317460317
"33"	"19N2018"	"LN"	26	11	0.846153846153846	0.0897435897435897	1.15384615384615	16	0.809917355371901	0.0338461538461538
"34"	"1N2016"	"LH"	32	38	2.375	0.205257936507937	2.01388888888889	11	0.45117728531856	0.0766129032258065
