"sample","year","block","Warm","type"
"10N2016",2016,"B2","warming","litter"
"10N2017",2017,"B2","warming","litter"
"10N2018",2018,"B2","warming","litter"
"16N2016",2016,"B4","warming","litter"
"16N2017",2017,"B4","warming","litter"
"16N2018",2018,"B4","warming","litter"
"16soil10N",2016,"B2","warming","soil"
"16soil16N",2016,"B4","warming","soil"
"16soil19N",2016,"B3","unwarming","soil"
"16soil1N",2016,"B1","warming","soil"
"16soil20N",2016,"B3","warming","soil"
"16soil23N",2016,"B4","unwarming","soil"
"16soil3N",2016,"B1","unwarming","soil"
"16soil6N",2016,"B2","unwarming","soil"
"17soil10N",2017,"B2","warming","soil"
"17soil16N",2017,"B4","warming","soil"
"17soil19N",2017,"B3","unwarming","soil"
"17soil1N",2017,"B1","warming","soil"
"17soil20N",2017,"B3","warming","soil"
"17soil23N",2017,"B4","unwarming","soil"
"17soil3N",2017,"B1","unwarming","soil"
"17soil6N",2017,"B2","unwarming","soil"
"18soil10N",2018,"B2","warming","soil"
"18soil16N",2018,"B4","warming","soil"
"18soil19N",2018,"B3","unwarming","soil"
"18soil1N",2018,"B1","warming","soil"
"18soil20N",2018,"B3","warming","soil"
"18soil23N",2018,"B4","unwarming","soil"
"18soil3N",2018,"B1","unwarming","soil"
"18soil6N",2018,"B2","unwarming","soil"
"19N2016",2016,"B3","unwarming","litter"
"19N2017",2017,"B3","unwarming","litter"
"19N2018",2018,"B3","unwarming","litter"
"1N2016",2016,"B1","warming","litter"
"1N2017",2017,"B1","warming","litter"
"1N2018",2018,"B1","warming","litter"
"20N2016",2016,"B3","warming","litter"
"20N2017",2017,"B3","warming","litter"
"20N2018",2018,"B3","warming","litter"
"23N2016",2016,"B4","unwarming","litter"
"23N2017",2017,"B4","unwarming","litter"
"23N2018",2018,"B4","unwarming","litter"
"3N2016",2016,"B1","unwarming","litter"
"3N2017",2017,"B1","unwarming","litter"
"3N2018",2018,"B1","unwarming","litter"
"6N2016",2016,"B2","unwarming","litter"
"6N2017",2017,"B2","unwarming","litter"
"6N2018",2018,"B2","unwarming","litter"
